"Запрос","URL","Тип","Намерение","Роль","Источник","Частотность_не_суммировать","География","Приоритет","Ограничение_назначения","Доказательство"
"Минивэн на свадьбу — трансфер гостей","https://zakazminivena.ru/services/wedding","Услуги","Принять решение о заказе: Минивэн на свадьбу — трансфер гостей.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/52ae6809c53738d9.json"
"как заказать минивэн в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","766","Россия","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-03.json"
"Минивэн vs другие виды транспорта","https://zakazminivena.ru/compare","Сравнения","Выбор следующего шага и распределение внутренних ссылок.","Поддержка","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/eb4599a08815daed.json"
"минивэн с лыжами","https://zakazminivena.ru/destination","Направления","Выбор следующего шага и распределение внутренних ссылок.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fce58b93a57df0ee.json"
"+7 918 587 5454","https://zakazminivena.ru/contacts","Доверие и сервис","Подтверждение доверия и помощь в решении; поддерживает коммерческие страницы.","Доверие","Вебмастер, архив 27.08","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a80e8251d99aa0bc.json"
"Частые вопросы","https://zakazminivena.ru/faq","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/e238a6d9ecb8827e.json"
"zakazminivena.ru отзывы","https://zakazminivena.ru/reviews","Доверие и сервис","Подтверждение доверия и помощь в решении; поддерживает коммерческие страницы.","Доверие","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/7a6bc63d0c8c9f75.json"
"минивэн новый год","https://zakazminivena.ru/seasonal/noviy-god","Сезонность","Принять решение о заказе: Минивэн на Новый год и зимние каникулы.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/7d71a3dd8c7e7aa4.json"
"Свадебный сезон — минивэн для гостей и молодожёнов","https://zakazminivena.ru/seasonal/svadebnyy-sezon","Сезонность","Принять решение о заказе: Свадебный сезон — минивэн для гостей и молодожёнов.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/21ac41c2b05afb7d.json"
"минивэн на море","https://zakazminivena.ru/seasonal/letniy-otpusk","Сезонность","Принять решение о заказе: Летний отпуск и море — минивэн на курорт.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5ffbdbce36803915.json"
"минивэн адлер роза хутор","https://zakazminivena.ru/routes/adler-roza-khutor","Межгород","Принять решение о заказе: Адлер → Роза Хутор, 45 км.","Расширение","Wordstat · 2026-09-16","2","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/0.json"
"такси минивэн Адлер Роза Хутор","https://zakazminivena.ru/routes/adler-roza-khutor","Межгород","Принять решение о заказе: Адлер → Роза Хутор, 45 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/75fbc578c90bc5e7.json"
"заказать минивэн Адлер Роза Хутор","https://zakazminivena.ru/routes/adler-roza-khutor","Межгород","Принять решение о заказе: Адлер → Роза Хутор, 45 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/75fbc578c90bc5e7.json"
"адлер роза хутор трансфер","https://zakazminivena.ru/routes/adler-roza-khutor","Межгород","Принять решение о заказе: Адлер → Роза Хутор, 45 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/75fbc578c90bc5e7.json"
"минивэн сочи красная поляна","https://zakazminivena.ru/routes/sochi-krasnaya-polyana","Межгород","Принять решение о заказе: Сочи → Красная Поляна, 70 км.","Расширение","Wordstat · 2026-09-16","8","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/1.json"
"такси минивэн Сочи Красная Поляна","https://zakazminivena.ru/routes/sochi-krasnaya-polyana","Межгород","Принять решение о заказе: Сочи → Красная Поляна, 70 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/f451521b896b7d6f.json"
"заказать минивэн Сочи Красная Поляна","https://zakazminivena.ru/routes/sochi-krasnaya-polyana","Межгород","Принять решение о заказе: Сочи → Красная Поляна, 70 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/f451521b896b7d6f.json"
"минивэн симферополь ялта","https://zakazminivena.ru/routes/simferopol-yalta","Межгород","Принять решение о заказе: Симферополь → Ялта, 82 км.","Расширение","Wordstat · 2026-09-16","1","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/2.json"
"такси минивэн Симферополь Ялта","https://zakazminivena.ru/routes/simferopol-yalta","Межгород","Принять решение о заказе: Симферополь → Ялта, 82 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d11fb4852235d1cb.json"
"заказать минивэн Симферополь Ялта","https://zakazminivena.ru/routes/simferopol-yalta","Межгород","Принять решение о заказе: Симферополь → Ялта, 82 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d11fb4852235d1cb.json"
"минивэн симферополь алушта","https://zakazminivena.ru/routes/simferopol-alushta","Межгород","Принять решение о заказе: Симферополь → Алушта, 60 км.","Расширение","Предложение по содержанию","","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/3.json"
"такси минивэн Симферополь Алушта","https://zakazminivena.ru/routes/simferopol-alushta","Межгород","Принять решение о заказе: Симферополь → Алушта, 60 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/905c286bcbc2bd75.json"
"заказать минивэн Симферополь Алушта","https://zakazminivena.ru/routes/simferopol-alushta","Межгород","Принять решение о заказе: Симферополь → Алушта, 60 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/905c286bcbc2bd75.json"
"минивэн симферополь евпатория","https://zakazminivena.ru/routes/simferopol-evpatoriya","Межгород","Принять решение о заказе: Симферополь → Евпатория, 65 км.","Расширение","Предложение по содержанию","","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/4.json"
"такси минивэн Симферополь Евпатория","https://zakazminivena.ru/routes/simferopol-evpatoriya","Межгород","Принять решение о заказе: Симферополь → Евпатория, 65 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/16a9ab173e0a35fa.json"
"заказать минивэн Симферополь Евпатория","https://zakazminivena.ru/routes/simferopol-evpatoriya","Межгород","Принять решение о заказе: Симферополь → Евпатория, 65 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/16a9ab173e0a35fa.json"
"минивэн симферополь феодосия","https://zakazminivena.ru/routes/simferopol-feodosiya","Межгород","Принять решение о заказе: Симферополь → Феодосия, 115 км.","Расширение","Предложение по содержанию","","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/5.json"
"такси минивэн Симферополь Феодосия","https://zakazminivena.ru/routes/simferopol-feodosiya","Межгород","Принять решение о заказе: Симферополь → Феодосия, 115 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/f108fa3f774416a3.json"
"заказать минивэн Симферополь Феодосия","https://zakazminivena.ru/routes/simferopol-feodosiya","Межгород","Принять решение о заказе: Симферополь → Феодосия, 115 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/f108fa3f774416a3.json"
"минивэн симферополь судак","https://zakazminivena.ru/routes/simferopol-sudak","Межгород","Принять решение о заказе: Симферополь → Судак, 100 км.","Расширение","Предложение по содержанию","","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/6.json"
"такси минивэн Симферополь Судак","https://zakazminivena.ru/routes/simferopol-sudak","Межгород","Принять решение о заказе: Симферополь → Судак, 100 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/783d5109b12a69a1.json"
"заказать минивэн Симферополь Судак","https://zakazminivena.ru/routes/simferopol-sudak","Межгород","Принять решение о заказе: Симферополь → Судак, 100 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/783d5109b12a69a1.json"
"минивэн симферополь севастополь","https://zakazminivena.ru/routes/simferopol-sevastopol","Межгород","Принять решение о заказе: Симферополь → Севастополь, 80 км.","Расширение","Wordstat · 2026-09-16","2","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/7.json"
"такси минивэн Симферополь Севастополь","https://zakazminivena.ru/routes/simferopol-sevastopol","Межгород","Принять решение о заказе: Симферополь → Севастополь, 80 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/39042f236d636938.json"
"заказать минивэн Симферополь Севастополь","https://zakazminivena.ru/routes/simferopol-sevastopol","Межгород","Принять решение о заказе: Симферополь → Севастополь, 80 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/39042f236d636938.json"
"минивэн краснодар сочи","https://zakazminivena.ru/routes/krasnodar-sochi","Межгород","Принять решение о заказе: Краснодар → Сочи, 320 км.","Ядро-кандидат","Wordstat · 2026-09-16","4","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/8.json"
"такси минивэн Краснодар Сочи","https://zakazminivena.ru/routes/krasnodar-sochi","Межгород","Принять решение о заказе: Краснодар → Сочи, 320 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/620d4124b5bc037b.json"
"заказать минивэн Краснодар Сочи","https://zakazminivena.ru/routes/krasnodar-sochi","Межгород","Принять решение о заказе: Краснодар → Сочи, 320 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/620d4124b5bc037b.json"
"минивэн краснодар адлер","https://zakazminivena.ru/routes/krasnodar-adler","Межгород","Принять решение о заказе: Краснодар → Адлер, 350 км.","Ядро-кандидат","Предложение по содержанию","","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/9.json"
"такси минивэн Краснодар Адлер","https://zakazminivena.ru/routes/krasnodar-adler","Межгород","Принять решение о заказе: Краснодар → Адлер, 350 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/acaed8062af3533c.json"
"заказать минивэн Краснодар Адлер","https://zakazminivena.ru/routes/krasnodar-adler","Межгород","Принять решение о заказе: Краснодар → Адлер, 350 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/acaed8062af3533c.json"
"минивэн краснодар симферополь","https://zakazminivena.ru/routes/krasnodar-simferopol","Межгород","Принять решение о заказе: Краснодар → Симферополь, 440 км.","Ядро-кандидат","Wordstat · 2026-09-16","11","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/10.json"
"такси минивэн Краснодар Симферополь","https://zakazminivena.ru/routes/krasnodar-simferopol","Межгород","Принять решение о заказе: Краснодар → Симферополь, 440 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/48cf249e322633f3.json"
"заказать минивэн Краснодар Симферополь","https://zakazminivena.ru/routes/krasnodar-simferopol","Межгород","Принять решение о заказе: Краснодар → Симферополь, 440 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/48cf249e322633f3.json"
"аренда авто из краснодара в симферополь","https://zakazminivena.ru/routes/krasnodar-simferopol","Межгород","Принять решение о заказе: Краснодар → Симферополь, 440 км.","Ядро-кандидат","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/48cf249e322633f3.json"
"минивэн краснодар анапа","https://zakazminivena.ru/routes/krasnodar-anapa","Межгород","Принять решение о заказе: Краснодар → Анапа, 165 км.","Ядро-кандидат","Wordstat · 2026-09-16","44","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/11.json"
"такси минивэн Краснодар Анапа","https://zakazminivena.ru/routes/krasnodar-anapa","Межгород","Принять решение о заказе: Краснодар → Анапа, 165 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c13de71fd37b2376.json"
"заказать минивэн Краснодар Анапа","https://zakazminivena.ru/routes/krasnodar-anapa","Межгород","Принять решение о заказе: Краснодар → Анапа, 165 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c13de71fd37b2376.json"
"минивэн краснодар геленджик","https://zakazminivena.ru/routes/krasnodar-gelendzhik","Межгород","Принять решение о заказе: Краснодар → Геленджик, 200 км.","Ядро-кандидат","Wordstat · 2026-09-16","26","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/12.json"
"такси минивэн Краснодар Геленджик","https://zakazminivena.ru/routes/krasnodar-gelendzhik","Межгород","Принять решение о заказе: Краснодар → Геленджик, 200 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/4f6536b9e05850b3.json"
"заказать минивэн Краснодар Геленджик","https://zakazminivena.ru/routes/krasnodar-gelendzhik","Межгород","Принять решение о заказе: Краснодар → Геленджик, 200 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/4f6536b9e05850b3.json"
"минивэн краснодар новороссийск","https://zakazminivena.ru/routes/krasnodar-novorossiysk","Межгород","Принять решение о заказе: Краснодар → Новороссийск, 165 км.","Ядро-кандидат","Wordstat · 2026-09-16","16","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/13.json"
"такси минивэн Краснодар Новороссийск","https://zakazminivena.ru/routes/krasnodar-novorossiysk","Межгород","Принять решение о заказе: Краснодар → Новороссийск, 165 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/b4849df0f3b04a68.json"
"заказать минивэн Краснодар Новороссийск","https://zakazminivena.ru/routes/krasnodar-novorossiysk","Межгород","Принять решение о заказе: Краснодар → Новороссийск, 165 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/b4849df0f3b04a68.json"
"минивэн краснодар ялта","https://zakazminivena.ru/routes/krasnodar-yalta","Межгород","Принять решение о заказе: Краснодар → Ялта, 500 км.","Ядро-кандидат","Wordstat · 2026-09-16","6","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/14.json"
"такси минивэн Краснодар Ялта","https://zakazminivena.ru/routes/krasnodar-yalta","Межгород","Принять решение о заказе: Краснодар → Ялта, 500 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a57a201cc52150d9.json"
"заказать минивэн Краснодар Ялта","https://zakazminivena.ru/routes/krasnodar-yalta","Межгород","Принять решение о заказе: Краснодар → Ялта, 500 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a57a201cc52150d9.json"
"минивэн ростов краснодар","https://zakazminivena.ru/routes/rostov-krasnodar","Межгород","Принять решение о заказе: Ростов → Краснодар, 275 км.","Ядро-кандидат","Wordstat · 2026-09-16","36","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/15.json"
"такси минивэн Ростов Краснодар","https://zakazminivena.ru/routes/rostov-krasnodar","Межгород","Принять решение о заказе: Ростов → Краснодар, 275 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a00b1f9c59827e89.json"
"заказать минивэн Ростов Краснодар","https://zakazminivena.ru/routes/rostov-krasnodar","Межгород","Принять решение о заказе: Ростов → Краснодар, 275 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a00b1f9c59827e89.json"
"минивэн в краснодар из ростова","https://zakazminivena.ru/routes/rostov-krasnodar","Межгород","Принять решение о заказе: Ростов → Краснодар, 275 км.","Ядро-кандидат","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a00b1f9c59827e89.json"
"минивэн ростов сочи","https://zakazminivena.ru/routes/rostov-sochi","Межгород","Принять решение о заказе: Ростов → Сочи, 550 км.","Расширение","Wordstat · 2026-09-16","6","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/16.json"
"такси минивэн Ростов Сочи","https://zakazminivena.ru/routes/rostov-sochi","Межгород","Принять решение о заказе: Ростов → Сочи, 550 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fcebe7cd37bd6972.json"
"заказать минивэн Ростов Сочи","https://zakazminivena.ru/routes/rostov-sochi","Межгород","Принять решение о заказе: Ростов → Сочи, 550 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fcebe7cd37bd6972.json"
"такси минивэн ростов сочи","https://zakazminivena.ru/routes/rostov-sochi","Межгород","Принять решение о заказе: Ростов → Сочи, 550 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fcebe7cd37bd6972.json"
"минивэн ростов адлер","https://zakazminivena.ru/routes/rostov-adler","Межгород","Принять решение о заказе: Ростов → Адлер, 570 км.","Расширение","Предложение по содержанию","","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/17.json"
"такси минивэн Ростов Адлер","https://zakazminivena.ru/routes/rostov-adler","Межгород","Принять решение о заказе: Ростов → Адлер, 570 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/dee42d8828d0e258.json"
"заказать минивэн Ростов Адлер","https://zakazminivena.ru/routes/rostov-adler","Межгород","Принять решение о заказе: Ростов → Адлер, 570 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/dee42d8828d0e258.json"
"минивэн ростов анапа","https://zakazminivena.ru/routes/rostov-anapa","Межгород","Принять решение о заказе: Ростов → Анапа, 430 км.","Ядро-кандидат","Wordstat · 2026-09-16","2","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/18.json"
"такси минивэн Ростов Анапа","https://zakazminivena.ru/routes/rostov-anapa","Межгород","Принять решение о заказе: Ростов → Анапа, 430 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/74600aab80dfb556.json"
"заказать минивэн Ростов Анапа","https://zakazminivena.ru/routes/rostov-anapa","Межгород","Принять решение о заказе: Ростов → Анапа, 430 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/74600aab80dfb556.json"
"минивэн москва сочи","https://zakazminivena.ru/routes/moskva-sochi","Межгород","Принять решение о заказе: Москва → Сочи, 1650 км.","Расширение","Wordstat · 2026-09-16","85","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/19.json"
"такси минивэн Москва Сочи","https://zakazminivena.ru/routes/moskva-sochi","Межгород","Принять решение о заказе: Москва → Сочи, 1650 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/6f5c42983d64879b.json"
"заказать минивэн Москва Сочи","https://zakazminivena.ru/routes/moskva-sochi","Межгород","Принять решение о заказе: Москва → Сочи, 1650 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/6f5c42983d64879b.json"
"минивэн минеральные воды домбай","https://zakazminivena.ru/routes/mineralnye-vody-dombay","Межгород","Принять решение о заказе: Минеральные Воды → Домбай, 200 км.","Ядро-кандидат","Предложение по содержанию","","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/20.json"
"такси минивэн Минеральные Воды Домбай","https://zakazminivena.ru/routes/mineralnye-vody-dombay","Межгород","Принять решение о заказе: Минеральные Воды → Домбай, 200 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/7bdd32aa77ab501c.json"
"заказать минивэн Минеральные Воды Домбай","https://zakazminivena.ru/routes/mineralnye-vody-dombay","Межгород","Принять решение о заказе: Минеральные Воды → Домбай, 200 км.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/7bdd32aa77ab501c.json"
