Кампания;Группа;Ключевая фраза;Частотность;Минус-слова группы;Посадочная страница;URL с UTM
CITIES;city_ekaterinburg;заказать минивэн в екатеринбурге;108;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;аренда минивэна в екатеринбурге без водителя;51;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;минивэны с водителем екатеринбург;45;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;такси минивэн екатеринбург заказать в яндекс;42;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;7 мест минивэн екатеринбург;31;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;минивэн аренда с водителем екатеринбург;30;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;аренда минивэна екатеринбург без водителя посуточно;23;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;минивэн купить в екатеринбурге 7 мест;20;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;минивэн с водителем казань;1454;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;аренда минивэна казань;1257;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;аренда минивэна с водителем в казани;1001;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;заказ минивэна с водителем в казани;432;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;заказать минивэн в казани;57;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;минивэн аэропорт казань;49;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;аренда минивэна в казани без водителя;30;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;аренда минивэна казань без водителя посуточно;23;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;трансфер минивэн в казани из аэропорта;17;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_kazan;минивэн казань такси заказать;16;;https://zakazminivena.ru/cities/kazan;https://zakazminivena.ru/cities/kazan?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_kazan&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;минивэн в краснодарском крае;440;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;купить минивэн в краснодарском крае;376;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;аренда минивэна в краснодаре;165;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;минивэн с пробегом в краснодарском крае;132;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;купить минивэн в краснодарском крае с пробегом;131;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;заказать минивэн в краснодаре;97;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;водитель с минивэном краснодар;89;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;аренда минивэна с водителем краснодар;62;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;аренда минивэна в краснодаре без водителя;62;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;заказать такси минивэн краснодар;59;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;купить минивэн бу в краснодарском крае;57;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;минивэны бу в краснодарском крае;57;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;авито минивэн в краснодарском крае;56;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;купить минивэн в краснодарском крае недорого;55;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;купить минивэн в краснодарском крае на авито;44;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;купить авто минивэн в краснодарском крае;35;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;аренда авто краснодар минивэн;30;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;минивэн аэропорт краснодар;25;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;японские минивэны в краснодарском крае;19;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;заказать минивэн с водителем в краснодаре;16;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;взять в аренду минивэн в краснодаре;13;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;продажа минивэнов в краснодарском крае;9;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;купить авто минивэн шарах в краснодарском крае;6;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_krasnodar;минивэн 9 мест в аренду краснодар;6;;https://zakazminivena.ru/cities/krasnodar;https://zakazminivena.ru/cities/krasnodar?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_krasnodar&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;аренда минивэна москва;1372;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;такси минивэн москва;639;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;заказать минивэн москва;487;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;аренда минивэна без водителя в москве;446;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;минивэн с водителем москва;382;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;заказать минивэн в москве;317;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;аренда минивэна с водителем москва;189;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;заказать такси минивэн в москве;135;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;заказать минивэн в москве с водителем;81;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;яндекс такси москва минивэн;65;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;заказ минивэна с водителем москва;61;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;заказать минивэн москва недорого;55;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;заказать минивэн в москве недорого;47;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;минивэн в аэропорт москва;44;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;минивэн аренда москва такси;43;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;недорогое такси минивэн москва;41;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;8 мест минивэн москва;38;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;минивэны в москве 7 мест;37;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;взять в аренду минивэн в москве;34;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;минивэн в аренду под такси в москве;34;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;аренда минивэна в москве посуточно;34;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;минивэн под такси в москве;34;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;заказать такси минивэн в москве недорого;33;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;аренда минивэна без водителя недорого москва;32;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;групповой трансфер в аэропорты москвы;32;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;минивэн в аренду в москве недорого;31;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
CITIES;city_moscow;аренда авто в москве минивэн;27;;https://zakazminivena.ru/cities/moscow;https://zakazminivena.ru/cities/moscow?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_moscow&utm_term={keyword}&yclid={yclid}
